notice_id,title,organisation,status,suitable_sme,value_low,value_high,published,deadline,region,cpv_codes,description
MT235942,Contract for the Provision of Facility Condition Assessments,Merseyside Waste Disposal Authority,Open,True,0,0,2025-11-14T17:45:06Z,2026-02-16T12:00:00Z,North West,70332300 70332200 71315300 70332000,"Merseyside Waste Disposal Authority (MWDA) is inviting tenders from suitably qualified and experience contractors to undertake Facility Condition Assessments at selected key operational facilities.
The assessment findings will provide an account of the condition of the facilities, (identifying any damage, repair, or maintenance issues), along with making recommendations for remediation works to ensure the facilities can remain in an operational condition up until 2034."
MT235941,Contract for the Preliminary Contamination Risk Assessments,Merseyside Waste Disposal Authority,Open,True,0,0,2025-11-14T17:45:04Z,2026-02-16T12:00:00Z,North West,71510000 45111250 71351500 90715100 90715000,"Merseyside Waste Disposal Authority (MWDA) is inviting tenders from suitably qualified, experienced and registered Specialist in Land Condition (SiLC) ground investigation contractors to undertake Preliminary Contamination Risk Assessments at several of the Authority&#039;s operational waste management facilities.
MWDA&#039;s long-term waste management contract, the Waste Management and Recycling Contract (WMRC), expires in 2034 and there are a number of contractual obligations required to be undertaken prior to the expiry of the Contract. This includes a determination if any ground contamination has occurred during the life of the contract.
The sites that form MWDA&#039;s operational estate were leased to the WMRC Contractor upon its commencement in 2009. The Authority wishes to employ a suitably qualified and experienced contractor to determine and assess the potential for, or presence of, contamination associated with the operations carried out during the contractual term of the WMRC.
The Authority wishes to undertake this work in two distinct phases. First, a desk-based study to determine if the sites are at risk of additional contamination as a result of the operations undertaken throughout the duration of the WMRC.
A second intrusive phase, which will be tendered separately, will be undertaken where necessary and based on the findings of the desk study for each of the sites. This will entail the investigation, collection and analytical testing of samples as deemed necessary during the Preliminary Contamination Risk Assessment."
ESOP1000096,National Trust-NI-Lough Neagh: A Roadmap to Recovery,THE NATIONAL TRUST FOR PLACES OF HISTORIC INTEREST OR NATURAL BEAUTY,Open,True,500000,0,2025-11-14T17:21:43Z,2025-12-18T17:00:00Z,Northern Ireland,90710000,"The National Trust, on behalf of collaborators involved in the Forever Lough Neagh initiative, are requesting proposals for a Consultant led Multidisciplinary Team to develop a holistic, comprehensive and long - term strategic framework for Lough Neagh:  A Roadmap to Recovery . 
The Trust seeks to appoint a Multidisciplinary Consultant to undertake a strategy development process with the aim of bringing together learning from previous activities, and initiatives and projects already underway, to identify gaps in knowledge and identify actions and clear recommendations for the future. A 12-month term (1 calendar year, anticipated to commence in April 2026) will be available to complete the commission.

We are keen to work with consultants and sub-consultants that are invested in the outcomes of this project, aiming to work together to develop recommendations that will lead to a more sustainable future for Lough Neagh.  We would welcome different types of organisations and groups to come together as consortium partners to form a multi-disciplinary team to deliver this commission. We recognise the importance of local and lived knowledge and experience, and we encourage potential lead Consultants to carefully consider how teams are put together to allow for open opportunities.
The Trust seeks initial information from a range of bidders as to possible solutions, capacity, capability and relevant experience, with a view to forming a select list for a later Request for Proposal process.   

The tender is being conducted via the Proactis Plaza portal.
http://www.proactisplaza.com/
 
All tender documents are available from the Proactis Plaza Portal.

Search for The National Trust in the opportunities section and follow the instructions."
WAFC001-DN778795-24674356,Temporary Traffic Management Framework 2025 - 2027,Westmorland and Furness Council,Open,True,3600000,3600000,2025-11-14T17:06:10Z,2025-12-17T14:00:00Z,"North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,East of England,London,South East,South West",63712700,Framework with up to 3 Suppliers to deliver External temporary traffic management support for the delivery of schemes to support the Council&#039;s in-house highway teams
3e915c5b-d5bd-47da-9055-e624219ff063,CA16742 - Kendal College - Marketing Services,Kendal College,Open,True,0,0,2025-11-14T16:57:17Z,2025-12-11T10:00:00Z,Any region,79342000,"Kendal College require one supplier to provide their Marketing Services

To access this competition: 

Registered:
Login to https://suppliers.multiquote.com and view the opportunity CA16742.

Not registered:
Visit https://suppliers.multiquote.com then register and quote CA16742 as the reason for registration. 

 Any queries please contact MultiQuote on 0151 482 9230."
BIP993969785,GB-Colchester: 0463(PA) Redevelopment of External Space at Trinity Square,Colchester City Council,Open,True,500000,1000000,2025-11-14T16:40:04Z,2025-12-19T12:00:00Z,East of England,71421000 45000000 71334000 71420000,"Colchester City Council (the Council) wishes to commission a contractor to undertake Landscape renovation of the former churchyard around the Grade I Listed Holy Trinity Church in the centre of Colchester, with access via Culver Street West.
      
      The Works will include the landscape renovation as detailed, in addition to the design and construction of New and replacement railings and gates, including handrails and Mechanical and Electrical installation.
      
      This work will be undertaken using the JCT Form of Contract - Intermediate Building Contract with Contractor&#039;s Design 2024 Edition.
      
      A Site Visit will be arranged for either the 3rd or 5th December (Exact date to be confirmed), details will be provided via clarification through the e-tendering portal.
      
      Bidders are to include their proposed timeline within the Quality response - Question 3.2Programme (Including Project Timetable &amp; Project Management).
      
      Further details of the requirements can be found in the accompanying specification document."
c1effe08-ecdb-4a3c-b0d6-7bc8248c2049,CA16738 - Learning Community Trust Tender for Catering Services,Learning Community Trust,Open,True,0,0,2025-11-14T10:15:20Z,2025-12-15T10:00:00Z,Any region,55524000,"To provide catering services to schools in the Learning Community Trust, Telford.

To access this competition: 

Registered:
Login to https://suppliers.multiquote.com and view the opportunity CA16738.

Not registered:
Visit https://suppliers.multiquote.com then register and quote CA16738 as the reason for registration. 

 Any queries please contact MultiQuote on 0151 482 9230."
bc038e7c-da3d-4e36-ae3e-d66933b19510,CA16735 - RFQ 2025/38 PEACEPLUS 3.7 Reimaging the History Mental Health Care,"Newry, Mourne and Down District Council (NMD)",Open,True,0,0,2025-11-13T14:27:18Z,2025-12-11T12:00:00Z,Any region,98000000 80000000 92000000,"Competent Consultancy companies are hereby invited to tender to design, develop and deliver a shared history and culture programme. This cross-community arts project will engage minority participants in exploring Northern Ireland&#039;s mental health care history, using the Downshire Hospital and Down County Museum&#039;s collection as inspiration. Through inclusive workshops, participants will reflect creatively on personal and shared experiences, culminating in an exhibition at Down County Museum. Newry Mourne and Down District Council.

To access this competition: 

Registered:
Login to https://suppliers.multiquote.com and view the opportunity CA16735.

Not registered:
Visit https://suppliers.multiquote.com then register and quote CA16735 as the reason for registration. 

 Any queries please contact MultiQuote on 0151 482 9230."
THTR1,Town Hall Toilet Refurbishment,Bawtry Town Council,Open,True,30000,50000,2025-11-13T12:14:46Z,2026-01-09T17:00:00Z,,45000000 50000000 92000000,"The Town Council is looking to refurbish the public toilets within the Town Hall community centre with the removal of all existing sanitary ware and a revised layout to be installed including one disabled toilet, 1 female toilet with 3 toilets and associated washbasins and 1 male toilets with 2 toilets, 2 urinals and associated washbasins. New flooring including to the entrance/foyer adjacent to the toilets.
A contract specification is included in the tender documents.
The program and scheduling will be agreed before commencement. Grant funding is being sought and this may affect the commencement. Contractors should refer to the layout document included in the tender documents.

The tender should be submitted in electronic format. 

All electronic tender documents/electronic media are to be addressed to theclerk@bawtrytowncouncil.gov.uk and annotated with &quot;TENDER DOCUMENTS NOT TO BE OPENED BEFORE 5pm Friday 9th January 2026. The Council reserves the right to discount any tender received in contravention of this instruction. 
Tenders are to remain open for acceptance for a period of 90 days."
ARCH001-DN793928-30035775,Ascent Homes - Moorside - Roads &amp; Sewers,Advance Northumberland Limited,Open,True,0,0,2025-10-13T17:52:20+01:00,2025-11-17T19:00:00Z,"North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,East of England,London,South East,South West",45000000,"Ascent Homes are looking to appoint a subcontractor to carry out the Muck Shift, Enabling Works and Roads and Sewers and all associated infrastructure works for our 71no plots at our Moorside development at Newbiggin-by-the-Sea, Northumberland."
