ocid,tender_id,title,description,status,buyer_name,value_gbp,currency,deadline,proc_method,cpv
ocds-h6vhtk-058d2d,SP-25-07,"Procurement, Commercial and Sustainable Training Framework",Scottish Government has the requirement to place a Procurement Commercial and Sustainability Training Framework on behalf of the Scottish Ministers to support the professionalisation of public procurement in Scotland.,active,Scottish Government,550000,GBP,2025-12-15T17:00:00Z,open,Education and training services
ocds-h6vhtk-05e1d5,ocds-h6vhtk-05e1d5,Aberdeen South Harbour Border Force Facility,"The ITT is for the construction of a new facility for Border Force UK freight examination and staff accommodation at Aberdeen South Harbour.
The works are to provide a single storey office facility and freight examination shed with associated external works and service connections.",active,Port of Aberdeen,1500000,GBP,2026-01-09T12:00:00Z,open,Construction work
ocds-h6vhtk-05e1d4,NP712/25,Facilities Disposables,The Supply of Facilities Disposable Products used extensively across NHS Scotland health boards estate,active,The Common Services Agency (more commonly known as NHS National Services Scotland) (NSS),10000000,GBP,2025-12-22T12:00:00Z,open,Cleaning products
ocds-h6vhtk-05e1aa,NPNSS06425,SNBTS Clean Room Decontamination System,"The Scottish National Blood Transfusion Service (""SNBTS"") require the purchase and installation of 1 (one) Clean Room Decontamination System within the Clean Room Suite at the Jack Copland Centre, Heriot Watt University Campus, Edinburgh.",active,The Common Services Agency (more commonly known as NHS National Services Scotland) (NSS),118000,GBP,2025-12-15T11:00:00Z,open,Medical equipments
ocds-h6vhtk-05e1a7,THTR1,Bawtry Town Hall Toilet Refurbishment,"The Town Council is looking to refurbish the public toilets within the Town Hall community centre with the removal of all existing sanitary ware and a revised layout to be installed including one disabled toilet, 1 female toilet with 3 toilets and associated washbasins and 1 male toilets with 2 toilets, 2 urinals and associated washbasins. New flooring including to the entrance/foyer adjacent to the toilets.
A contract specification is included in the tender documents.
The program and scheduling will be agreed before commencement. Grant funding is being sought and this may affect the commencement. Contractors should refer to the layout document included in the tender documents.
The tender should be submitted in electronic format.
All electronic tender documents/electronic media are to be addressed to theclerk@bawtrytowncouncil.gov.uk and annotated with ""TENDER DOCUMENTS NOT TO BE OPENED BEFORE 5pm Friday 9th January 2026. The Council reserves the right to discount any tender received in contravention of this instruction.
Tenders are to remain open for acceptance for a period of 90 days.",active,Bawtry Town Council,50000,GBP,2026-01-09T17:00:00Z,open,Construction work
ocds-h6vhtk-05e193,DN513740,Supported Living DPS,"The primary purpose of this notice is to publicise that the period of validity of this Dynamic Purchasing System (DPS) is being extended to 23 February 2029.
The Council wishes to work with Providers who can demonstrate and deliver a progressive model of Supported Living (SL) which achieves and maintains value for money and which can meet
individuals' outcomes and support needs.
The DPS follows the guidance of PCR2015 Part 2, Chapter 2, Section 4 Reg 34, but it should be noted that the procurement falls under the Light Touch Regime.
For further information please see the specification within the procurement documents.
Note, originally published and tendered using http://demand.sproc.net/ 
by Adam HTT Limited and transitioned to run on Eastmids Tenders.
The original OJEU notice can be accessed via the link below:
https://ted.europa.eu/udl?uri=TED:NOTICE:504840-2019:TEXT:EN:HTML&src=0.",active,Leicestershire County Council,156789898,GBP,2029-01-31,selective,Health and social work services
ocds-h6vhtk-05e167,NP67725,Cleaning Wipe Products Surface and Patient,"The Supply of Wipes and cleansers for use on hard surfaces, medical devices and patients throughout all Scottish Health boards.",active,The Common Services Agency (more commonly known as NHS National Services Scotland) (NSS),18800000,GBP,2025-12-15T12:00:00Z,open,Wipes
ocds-h6vhtk-02a31d,SC2425-0223,Professional Learning Services Framework,"Stirling Council is seeking to award a framework for the provision of high quality professional learning, including formal qualifications, certificated courses and other evidence based learning.",active,Stirling Council,,,2025-12-18T12:00:00Z,open,Training services
ocds-h6vhtk-05e145,CE-203-25,CE-203-25 Housing Support Services Framework Agreement,Housing Support Services Framework Agreement,active,South Ayrshire Council,,,2025-12-19T12:00:00Z,open,Housing services
ocds-h6vhtk-059f20,DGCP-0441,Asset and Insurance Valuations for Dumfries and Galloway Council,Dumfries and Galloway Council intends to procure Asset and Insurance Valuations.,active,Dumfries and Galloway Council,200000,GBP,2025-12-12T12:00:00Z,open,Building surveying services
ocds-h6vhtk-05e11a,ocds-h6vhtk-05e11a,DPS1 1334 - Ad Hoc Housing Tree Work,Haringey Council DPS1 1334 - Ad Hoc Housing Tree Work,active,London Borough of Haringey,300000,GBP,2025-11-24,selective,"Architectural, construction, engineering and inspection services"
ocds-h6vhtk-05e111,OIC/PROC/2238,Provision of a Managing Agent to Deliver the Home and Energy Efficient Scotland : Area Based Scheme in Orkney,Orkney Islands Council has a requirement to appoint a suitably qualified managing agent to deliver the Home Energy Efficient Scheme : Area Based Scheme in Orkney.,active,Orkney Islands Council,7500000,GBP,2025-12-15T12:00:00Z,open,Energy-efficiency consultancy services
ocds-h6vhtk-05e0ff,NP60025b,Dressings,"The Common Services Agency (more commonly known as National Services Scotland) (‘the Authority’) acting through its division National Procurement, is undertaking this procurement of Dressings (‘Products’) as outlined further below on behalf of all entities constituted pursuant to the National Health Service (Scotland) Act 1978, (i.e. all NHS Scotland Health Boards, Special Health Boards and
the Authority or other NHS Organisation established pursuant to the NHS (Scotland) Act 1978), any integrated Joint Boards established
pursuant to the new Public Bodies (Joint Working) Scotland Act 2014 (collectively hereafter referred to as (‘Participating Authorities’).",active,The Common Services Agency (more commonly known as NHS National Services Scotland) (NSS),1000000,GBP,2025-12-17T11:30:00Z,open,Dressings
ocds-h6vhtk-05e08c,171,Close Cleaning and Grounds Maintenance Services,"Close Cleaning and Grounds Maintenance services to provide a clean, tidy and well-maintained estate on behalf of Glasgow West Enterprises Limited (GWEn) that reflects customer need and good horticultural and environmental practice. All work shall consequently be carried out and timed in such a way as to leave the whole site in a well maintained and tidy condition at all times.",active,Glasgow West Housing Association Limited,,,2025-12-15T12:00:00Z,open,Environmental services
ocds-h6vhtk-05e081,ocds-h6vhtk-05e081,Microsoft Enrolment for Education Solutions (EES) Agreement (RM6098),"Newcastle City Council (NCC) is seeking the renewal of its current Microsoft A3 Licencing Agreement. NCC is seeking a new agreement with a single vendor to replace the existing expiring agreement.
Further competition will run via the CCS framework RM6068 Lot 3.",active,Newcastle City Council,,,2025-12-01T12:00:00Z,selective,"IT services: consulting, software development, Internet and support"
ocds-h6vhtk-05e06d,Proc-25-3124,Proc-25-3124 - Water Management Risk Assessments,The Scottish Police Authority (known as the “the Authority”) requires a Contract in place for water management risk assessments to be carried out. The Authority is tendering this opportunity to appoint a suitably experienced and competent Contractor.,active,Scottish Police Authority,,,2025-12-15T12:00:00Z,open,Risk or hazard assessment other than for construction
ocds-h6vhtk-05e043,CPT-066,Hotel Booking and Corporate Travel Services,"We need a third-party agent who will procure and manage hotel services securing the best rates, terms and conditions for day let rooms, overnight stays, rail, flights, and meeting rooms as per the detailed requirements.",active,Caledonian Sleeper Limited,1005000,GBP,2025-12-15T15:00:00Z,selective,Hotel accommodation services
ocds-h6vhtk-05e042,OIC/PROC/2208,Invitation To Tender for the Restoration of the St Magnus Cathedral Organ,"Orkney Islands Council seeks a suitably qualified and experienced provider to support the restoration of the St Magnus Cathedral Organ, Kirkwall, Orkney.",active,Orkney Islands Council,500000,GBP,2025-12-15T12:00:00Z,open,Repair and maintenance services of musical instruments
ocds-h6vhtk-05e03e,OIC/PROC/2264,Container Shipment of Waste to Shetland,The provision of shipment of waste materials and provision of standard ISO 20ft containers for the shipment of the majority of waste materials from Orkney to Shetland.,active,Orkney Islands Council,3000000,GBP,2025-12-15T12:00:00Z,open,Refuse and waste related services
